,ID,name_en,countries,speakers,location,lat,lon,status
10,1565,Kumaoni,"India, Nepal",2003783.0,"Uttarakhand, also in Uttar Pradesh, Madhya Pradesh, Assam and Bihar; also in Nepal",29.4778,79.8486,1
11,755,Aymara,"Bolivia (Plurinational State of), Chile, Peru",2000000.0,"Departamentos  de Puno,  Moquegua y Tacna, en el Perú. Area del lago Titicaca, donde se  incluye también el Altiplano boliviano.
In Bolivia: departments of La Paz, Oruro, Potosí and Cochabamba.
In Chile: Province of Tarapacá (interior of Arica, Iquique).",-16.5835,-68.302,1
12,349,Emilian-Romagnol,"Italy, San Marino",2000000.0,"the region of Emilia-Romagna, parts of the provinces of Pavia, Voghera, and Mantua in southern Lombardy, the Lunigiana district in northwestern Tuscany, the Pesaro-Urbino province in the region of Marche and the Republic of San Marino",44.127,12.0739,2
13,399,Piedmontese,Italy,2000000.0,"Piedmont Region except the Novara Province, the western Alpine valleys and southern border areas, as well as minor adjacent areas",45.2013,7.8662,2
14,1021,Venetan,"Croatia, Italy, Slovenia",2000000.0,"Veneto region, parts of Friuli-Venezia Giulia, Italy; Istria in both Slovenia and Croatia",45.4601,12.1948,1
15,1985,Zazaki,Turkey,2000000.0,"Tunceli, Erzincan, Elazığ and Bingöl provinces, Hınıs district of Erzurum Province, the eastern parts of Sivas Province, Varto district of Muş Province, Sarız district of Kayseri Province, the northern and western parts of Diyarbakır Province, Siverek district of Şanlıurfa Province as well as small areas in adjacent provinces. Many immigrants in Europe.",38.8824,40.4846,1
16,1591,Kurux (India),India,1751489.0,Jharkhand and Bihar,22.1467,85.2758,1
17,1585,Tulu,India,1722768.0,"Karnataka, Andhra Pradesh, Kerala",12.0178,75.7067,1
18,1556,Kangdi,India,1700000.0,Himachal Pradesh,32.4356,76.1242,2
19,410,Scots,United Kingdom of Great Britain and Northern Ireland,1500000.0,Lowland Scotland and adjacent parts of England; émigré communities in Ireland,56.2189,-3.7683,1
20,1026,Torlak,"Albania, Bulgaria, The former Yugoslav Republic of Macedonia, Romania, Serbia",1500000.0,"the core area: south-eastern Serbia, the westernmost parts of Bulgaria, the north-eastern region of the FYROM and, at least until recently, parts of southern Kosovo (Serbia); Goran: the border region of Kosovo, Albania and the FYROM; Janjev: south-eastern Kosovo (Serbia), from where most speakers have emigrated to Croatia; Krashovan: the region of Caraşova in Caraş-Severin County in the Romanian Banat",42.9644,22.1374,1
21,1476,West Flemish,"Belgium, France, Netherlands",1500000.0,"the province of Zealand, the Netherlands; West Flanders, Belgium; and French Flanders, where definitively if not severely endangered",51.0275,3.0541,1
22,334,Bashkir,Russian Federation,1379727.0,the Republic of Bashkortostan and adjacent regions,54.7309,55.9863,1
23,1067,Chechen,Russian Federation,1331844.0,the Republic of Chechenia and adjacent regions,43.1971,45.7031,1
24,338,Chuvash,Russian Federation,1325382.0,Chuvash Republic and adjacent regions,56.1394,47.2412,1
25,1227,Meithei,India,1250000.0,"Manipur (throughout, but concentrated in the Manipur valley)
 ",24.7667,93.8946,1
26,1114,Tamang,"India, Nepal",1196639.0,"Dispersed throughout central and eastern hills of Nepal. Bāgmatī, Nārāyaṇī and Janakpur zones, in Kābhrepālañcok, Makvānpur, SIndhupālcok, Nuvākoṭ, Dhādiṅ, Sindhulī, Rāmechāp, Bagmatī, Dolakhā and Rasuvā districts. Also found in India (Sikkim).",27.7365,85.6858,1
27,1013,Quechua of Cuzco,Peru,1115000.0,"Cuzco, partes de  Arequipa, Puno, Apurímac (Abancay), Moquegua (Ubinas).",-13.4537,-72.0098,1
28,1024,Eastern Slovak,"Slovakia, Ukraine",1000000.0,"Spiš, Šariš, Zemplín and Abov regions in eastern Slovakia; a regional language not recognized by the SIL",48.8068,21.7968,1
29,377,Ligurian,"France, Italy, Monaco",1000000.0,"Liguria and adjacent areas of Piedmont, Emilia and Tuscany, Italy; the villages of Tende, La Brigue, Fontan, Saorge, Breil-sur-Roya in the eastern corner of the department of Alpes-Maritimes, France; settlements in the towns of Carloforte on the San Pietro island and Calasetta on the Sant’Antioco island off the southwest coast of Sardinia, Italy, as well as in the town of Bonifacio in Corsica; until the twentieth century also Monaco, where Ligurian is still used and studied as a second language, and the villages of Biot, Vallauris, Mons and Escragnoles in the department of Alpes-Maritimes, France",44.5748,8.7011,2
30,407,Rusyn,"Hungary, Poland, Romania, Slovakia, Ukraine",1000000.0,Trans-Carpathian region of Ukraine,48.4437,22.9394,1
31,1515,Talysh,"Azerbaijan, Iran (Islamic Republic of)",1000000.0,"the northern regions of Gilan and Ardabil provinces, Iran; the southernmost parts of Azerbaijan",38.814,48.6804,1
32,1577,Kui,India,916222.0,"Orissa (Phulbani, Koraput, Ganjam); also in Andhra Pradesh and Madhya Pradesh",19.5908,83.9575,1
33,1231,Khasi,India,912000.0,eastern half of Meghalaya,25.691,91.8676,1
34,1229,Bodo,India,900000.0,"north bank of the Brahmaputra, Sonitpur and Darrang districts",26.7554,92.8674,1
35,337,Campidanese,Italy,900000.0,southern Sardinia,39.2991,8.9868,2
36,1803,K'iche' (Guatemala),Guatemala,890596.0,"Among the localities listed in the Ethnologue: El Quiché dept., Quetzaltenango, Cunén, Chichicastenango, Joyabaj, San Andrés Sajeabajá, Atitlán in Quetzaltenango dept.; Totinicapán dept, Santa Cruz Quiché",15.0309,-91.1485,1
37,989,Quechua of Ayacucho,Peru,850000.0,"Departamentos de Ayacucho, Huancavelica y partes de  Apurimac y Arequipa.",-13.1276,-74.2071,2
38,1117,Newar,Nepal,825458.0,Kathmandu valley,27.6981,85.3198,2
39,1523,Polesian,"Belarus, Poland, Ukraine",800000.0,"the south-west of Belarus, the north-west of the Ukraine and adjacent Poland; a regional language not recognized by the SIL",51.8629,23.9501,1
40,701,Tamaceq,Mali,800000.0,"Central, and northeast Mali, Kidal, Tombouctou areas. 
Also spoken in Algeria, Burkina Faso
",16.7992,-3.0102,2
41,1069,Avar,Russian Federation,784840.0,parts of the Republic of Daghestan,42.4801,46.8017,1
42,1211,Mundari,India,750000.0,"Jharkhand, mainly in  Ranchi Dt.; some speakers in Madhya Pradesh",22.3297,86.0449,1
43,425,Welsh,United Kingdom of Great Britain and Northern Ireland,750000.0,Wales and adjacent parts of England; émigré communities in Patagonia,52.4459,-3.5485,1
44,1202,Angika,"India, Nepal",740892.0,Bihar and Jharkhand,24.7451,85.3124,1
45,1827,Q'eqchi' (Guatemala),Guatemala,716101.0,"Uspantán, Cobán, Panzós, Senahú, San Pedro Carchá, San Juan Chamelco, Lanquín, Cahabón, Chisec, Chahal, San Luis Sayaxché, El Estor, Livingston",15.4707,-90.3722,1
46,398,Picard,"Belgium, France",700000.0,"the regions of Picardy (Picardie) and Nord-Pas-de-Calais, France; the area extending from Tournai to Mons in the western part of the province of Hainaut, Belgium",50.2331,2.7905,3
47,1228,Kokborok,"Bangladesh, India",695000.0,"Triupura, and Karimjang Dt. of Assam",23.7752,91.6918,1
48,415,Basque,"Spain, France",660000.0,"Basque Autonomous Region (the provinces of Bizkaia, Gipuzkoa and Araba) and the autonomous province of Navarre, Spain; Labourd, Basse-Navarre and Soule in the department of Pyrénées-Atlantiques, France",43.133,-2.0764,1
49,1065,Kabard-Cherkes,"Russian Federation, Turkey",650000.0,the Kabard-Balkar Republic and the Karachay-Cherkes Republic in the Russian Federation as well as diaspora communities in Turkey and the Middle East,43.7393,43.4289,1
50,1559,Mandeali,India,611930.0,Himachal Pradesh,31.4099,76.9921,2
51,353,Friulian,Italy,600000.0,"the Autonomous Region Friuli-Venezia Giulia except Trieste Province and western and eastern border regions, and Portogruaro area in Venezia Province in Veneto Region; also spoken in émigré communities in Romania and elsewhere",46.1037,13.1396,2
52,997,Quechua of Ancash and Huánuco,Peru,600000.0,"Zona central del Perú, departamentos de  Ancash Y Huánuco.",-9.4598,-77.1789,2
53,1947,Walloon,"Belgium, France, Luxembourg",600000.0,"the greater part of the province of Liège, the southern part of the province of Brabant, the province of Namur, the northern part of the province of Luxembourg and the eastern part of the province of Hainaut, Belgium; the north of the department of Ardennes (town of Givet), France, where severely endangered; formerly also in two or three villages (Doncols, Sonlez) in Luxemburg, where the last speakers died in the 1970s",50.4575,4.8559,2
54,1091,Mising,India,550000.0,"Assam, mostly Lakhimpur, Sonitpur and Dhemaji districts; some speakers also live across the border in Arunachal Pradesh
",26.9612,94.0539,2
55,1066,Ossete,"Georgia, Russian Federation",550000.0,North Ossetia and South Ossetia,42.9564,44.4946,1
56,1230,Mizo,India,529000.0,"throughout Mizoram; Manipur, Churachandpur Dt. Also spoken in Burma",22.9988,92.9223,1
57,1070,Dargwa,Russian Federation,503523.0,parts of the Republic of Daghestan,42.1145,47.4938,1
58,331,Aromanian,"Albania, Bulgaria, Greece, The former Yugoslav Republic of Macedonia, Serbia",500000.0,"Thessaly and Epirus in northern Greece; the central parts of Albania; several small pockets in the FYROM, Greece and Bulgaria; immigrant groups deriving from the eighteenth century in Serbia, especially between Niš and Kladovo; many Aromanian immigrants since the early twentieth century also in Romania",40.2292,21.1376,2
59,2485,Brahui,"Iran (Islamic Republic of), Pakistan, Afghanistan",500000.0,"Kalat district and parts of Hyderabad, Karachi and Khairpur districts; also small communities in Afghanistan and Iran",29.0369,66.5826,1
60,375,Languedocian,France,500000.0,"an area from Bordeaux in the northwest to Montpellier in the southeast, and from Toulouse in the southwest to Rodez in the northeast, covering the departments of Aveyron, Lot, Lot-et-Garonne, Tarn-et-Garonne, Tarn, Aude, Hérault, the eastern parts of Haute-Garonne and Ariège, the southern parts of Dordogne, the Aurillac region of Cantal, the western parts of Gard, and smaller areas in Lozère, Pyrénées-Orientales, and Gironde; the original ISO code [lnc] for Languedocian has been retired and replaced with [oci] on false grounds",43.8899,2.5378,3
61,1072,Lezgian,"Azerbaijan, Russian Federation",500000.0,southern Daghestan in the Russian Federation; northern Azerbaijan,41.4921,48.0541,1
62,1558,Mahasui,India,496024.0,Himachal Pradesh,31.2738,77.1295,2
63,1118,Magar,Nepal,489383.0,"Pālpā, Syāṅjā, Tanahũ and Gorkhā districts.",28.0816,83.4301,2
64,1822,Mam (Guatemala),Guatemala,477717.0,"Towns of Tejumulco and Ichiguán in Huehuetenango; towns of San Miguel Ixtahuacán, Concepción Tutapa and others in
San Marcos dept; San Sebastián, town of Todos Santos Cuchumatán and other towns in Huehuetenango dept., Quetzaltenango dept., Retalhuleu dept, San Juan Ostuncalco, San Martín Sacatepequez and other towns in Ostuncalco",14.9305,-91.9078,1
65,418,Udmurt,Russian Federation,463837.0,"the Udmurt Republic and parts of Tatarstan, the Republic of Mariy-El, Bashkortostan, and Kirov (Vyatka) and Perm’ provinces",57.2315,52.8662,2
66,1506,Huasteca Náhuatl,Mexico,463183.0,"Locality of Xilitla and others in the municipality of Tamazunchale, municipalities of Cuatlamayán, Coxcatlán, and others in the state of San Luis Potosí; municipalities of Platón Sánchez, Chicontepec, Álamo, Ixhuatlán de Madero in the state of Veracruz; municipality of Francisco Z. Mena in the state of Puebla; municipalities of Tepehuacán de Guerrero, Huautla, Yahualica, Xoxiatipan, Tianguistengo, Zacualtipan and Metzquititlán in the state of Hidalgo",21.3835,-98.9902,1
67,1074,Kumyk,Russian Federation,458121.0,parts of the Republic of Daghestan,43.397,46.9775,1
68,508,Yakut,Russian Federation,456288.0,the Republic of Sakha (Yakutia),62.3496,130.8691,1
69,1801,Kaqchikel (Guatemala),Guatemala,444954.0,"Among the many localities listed in Ethnologue: Acatenango in the municipality of Acatenango, Chimaltenango department; Sacatepéquez department; San Martín in municipality of Jilotepeque; Chimaltenango in municipality of Santa María de Jesús, Santo Domingo Xenacoj, Antigua, department of Sololá",14.7814,-90.7925,1
70,1165,Karbi,India,420000.0,"Assam, Karbi Anglong, Kamrup and Nowgong districts; Meghalaya, Jaintia, and East Khasi Hills districts; Nagaland, around Dimapur.",26.2934,93.2299,1
71,347,Eastern Mari,Russian Federation,414211.0,"central and eastern parts of the Republic of Mariy-El and parts of Bashkortostan, Tatarstan, the Udmurt Republic, and Yekaterinburg, Perm’ and Orenburg provinces",56.632,47.8784,2
72,1068,Ingush,Russian Federation,405343.0,the Republic of Ingushetia and adjecent regions,43.145,45.1043,1
73,350,Erzya,Russian Federation,400000.0,"the eastern parts but also small pockets in the northwest and south of the Republic of Mordovia; also several areas in Nizhniy Novgorod, Samara, Saratov and Orenburg provinces, Tatarstan and Bashkortostan",54.1302,45.4394,2
74,1212,Ho,India,400000.0,"Jharkhand, Singhbhum Dt.; Orissa, Mayurbhanj and Koenjhar districts; West Bengal. ",21.637,86.4404,1
75,2165,Judezmo (Israel),Israel,400000.0,"resettled communities in Israel where the majority of the speakers live, and in the United States and several European countries; cf. Judezmo (Europe)",32.0872,34.7737,3
76,378,Limousin,France,400000.0,"the departments of Corréze and Haute-Vienne, most of Creuse, the northern parts of Dordogne, and the eastern parts of Charente; the original ISO code [lms] for Limousin has been retired on false grounds",46.0579,1.8017,3
77,381,Logudorese,Italy,400000.0,central Sardinia,40.1116,9.1845,2
78,626,Mapuche (Chile),Chile,400000.0,"Región La Araucanía (provinces of Cautín and Malleco). Provinces of Arauco, Bío-Bío and Valdivia. Dispersed areas in Argentina: Neuquén, Chubut, La Pampa, Buenos Aires.",-38.5653,-73.081,2
79,1503,Central Náhuatl,Mexico,395581.0,"Locality of Milpa Alta and others with few remaining speakers in the south of the Distrito Federal; several municipalities in the state of Mexico such as Tianguistenco, Jalatlaco, Coyotepec and Huehuetoca; municipalities of Chiautempan, Mazatecocho, Contla and othes in the state of Tlaxcala; several municipalities in the state of Puebla such as Atlixco and Huejotzingo;  in the state of Hidalgo, municipalities such as Acaxochitlán and Pahuatlán; in the state of Veracruz, several municipalities such as Rafael Delgado and Zongolica; municipality of Teotitlán and others in the state of Oaxaca",19.191,-99.0236,1
80,424,Moselle Franconian,"Germany, Belgium, France, Luxembourg",390000.0,Luxembourg and adjacent regions of neighbouring countries,49.6071,6.1248,1
81,964,Bantawa,Nepal,371056.0,"Bhojur district in Nepal.
Bantawa Rai that migrated to Sikkim, India, can be mainly found in the West District (Youksom, Tashiding, Geyzing, Dentam, Rinchenpong, Soreng, Jorthang), South District (Ralong, Damthang, Namchi, Temi, Tarku, Melli) and in the East District (Gangtok, Badong, Rumtek, Pakyong, Rehnok, Regu, Rolep Assam Lingjey).
",27.0994,87.0048,1
82,1424,Santa,China,360000.0,"Dongxiang Autonomous County of Linxia Hui Autonomous Prefecture, Gansu Province; also émigré communities elsewhere in Gansu and in Sinkiang (Xinjiang)",35.5411,102.7935,1
83,1057,Mingrelian,Georgia,350000.0,western lowlands of Georgia,42.4599,41.7205,2
84,426,West Frisian,Netherlands,350000.0,the province of Friesland and the western parts of the province of Groningen,53.1006,5.6579,1
85,1113,Gurung,Nepal,338925.0,"Gorkhā , Kāskī, Lamjuṅ , Parbat, Syāṅjā, Tanahũ and Dhādiṅ districts",28.275,84.1782,2
86,1075,Karachay-Balkar,Russian Federation,302748.0,parts of the Karachay-Cherkes Republic and the Kabard-Balkar Republic,44.2137,42.8466,1
87,1064,Adyge,"Iraq, Israel, Jordan, The former Yugoslav Republic of Macedonia, Russian Federation, Syrian Arab Republic, Turkey",300000.0,"the Republic of Adygea and adjacent regions in the Russian Federation and many diaspora communities in Turkey, the Middle East and Western Europe",44.9181,39.7485,1
88,469,Buryat (Trans-Baikal),Russian Federation,300000.0,the Republic of Buryatia and Aga (Aginskiy) Buryat Autonomous District and elsewhere in Chita Province,50.8336,109.5117,2
89,1574,Kurru,India,300000.0,"Tamil Nadu, Andhra Pradesh and Karnataka",16.6151,81.6284,2
90,1578,Kuvi,India,300000.0,"Orissa (Koraput, Kalahandi, Ganjam, and Phulbani) and Andhra Pradesh",18.9478,83.5839,2
91,1028,Limbu,"India, Nepal",300000.0,"Eastern Nepal, India.
Tehrathum, Ilām, Pāñcthar, Tāplejuṅ, Dhankuṭā districs.",27.096,87.7356,2
92,2452,Moroccan Judeo-Arabic (Israel),Israel,300000.0,Tel Aviv,32.0476,34.7552,2
93,401,Plautdietsch,Ukraine,300000.0,originally Khortytsya and Molochna near Zaporizhzhya; émigré communities in other parts of the Ukraine and in what is now withing the Russian Federation and further in the Americas; last speakers in the Ukraine were deported during the Second World War to Central Asia and Siberia; many speakers have recently emigrated to Germany; an outlying dialect of Low Saxon,47.0738,35.5545,2
94,1078,Pontic Greek,"Armenia, Georgia, Greece, Russian Federation, Turkey, Ukraine",300000.0,"originally along the Black Sea coast of Turkey and adjacent Georgia; some speakers remain in the towns of Of and Sürmene, but most have emigrated to Greece; émigré communities also in southern Russia and the Caucasus; an outlying dialect of Greek",40.847,40.0149,2
95,1935,"Quichua (Cotopaxi, Tungurahua and Chimborazo)",Ecuador,300000.0,"Provinces of: Cotopaxi, Tungurahua (Southwest of the Province), Bolivar (Central Highlands), Chimborazo, counties of Riobamba, Colta, Guamote, Chambo, Guano, Pallatanga, Penipe and Cumandá",-1.8673,-78.9257,2
96,1479,Waxiang,China,300000.0,western Hunan,28.5652,110.3576,1
97,1434,Oyrat,"China, Kyrgyzstan, Mongolia",280000.0,"the Kobdo and Ubsu aimaks of Mongolia; Bortala, Hoboksar, Tarbagatai and Bayangol regions in northern Sinkiang, Kukunor region in Qinghai Province and Alashan (Alshan) League in western lnner Mongolia, China; Chelpek and Boru Bashi, east of lssyk Köl, Kyrgyzstan",46.195,88.7255,2
98,1563,Garhwali,India,279500.0,"Uttarakhand, in Garhwal area",30.0976,79.1235,1
99,336,Breton,France,250000.0,western Brittany; many émigré communities,48.2246,-3.9331,3
100,352,Gascon,"Spain, France",250000.0,"the departments of Landes, Gers, and Hautes-Pyrénées, the eastern parts of Pyrénées-Atlantiques, the western parts of Haute-Garonne and Ariège, and the southern and western parts of Gironde, France; the Aran Valley, northwestern Catalonia, Spain; the original ISO code [gsc] for Gascon has been retired on false grounds",43.1811,-0.1428,2
101,1205,Sora,India,250000.0,"Orissa, mainly Ganjam Dt., but also Koraput and Phulbani districts. Parts of Andhra Pradesh.",19.1244,83.2104,1
102,1119,Konyak,India,248000.0,"Nagaland, Mon and Tuensang districts.",26.9367,95.1745,1
103,1130,Ao,India,243000.0,Wokho and parts of Mokokchung districts,26.4361,94.6472,1
104,1234,Tuvan,"China, Mongolia, Russian Federation",242754.0,the Republic of Tuva in the Russian Federation and adjacent regions in China and Mongolia,51.7134,94.3945,1
105,1970,Nafusi,Libyan Arab Jamahiriya,240000.0,"Language spoken in the regions of Tripolitania, western Libya, isolated area around the towns of Nalut and Yafran, Jabal Nafusah Region, coastal area around Zuara, west of Tripoli.",32.6393,13.4252,3
106,2232,Suret,"Armenia, Iran (Islamic Republic of), Iraq, Syrian Arab Republic, Turkey",240000.0,"Iraqi Kurdistan, western Iranian Azerbaijan and Kurdistan, northeast Syria near the Turkish border.  Extinct in Turkey.  A large number of speakers are in diaspora in Europe, North and South America, and Australia.",36.4477,43.2971,2
107,1592,Malto,India,224926.0,"Jharkhand (Godda, Santhal Pargana), Bihar and West Bengal (Bankura, Barddhaman, and Murshidabad), and also in Orissa (Mayurbhanj)",23.7853,85.4736,2
108,1600,Khowar,Pakistan,222800.0,"Chitral of NWFP; Shandur Pass to Fupis in Ghizr Valley, Yasin and Ishkhoman valleys in Gilgit Agency of Northern Areas of Pakistan.",35.8667,71.7956,1
109,2481,Maiya,Pakistan,220000.0,Indus Kohistani district,35.3151,72.908,1
110,373,Komi,Russian Federation,217316.0,"the Komi Republic and parts of Nenets Autonomous District, Arkhangel’sk Province, Yamal Nenets Autonomous District, Murmansk Province and other regions",62.3087,51.5917,2
111,365,Alpine Provençal,"France, Italy",200000.0,"the upper valleys of Piedmont (Val Mairo, Val Varacho, Val d’Esturo, Entraigas, Limoun, Vinai, Pignerol, Sestriero), Italy; the departments of Ardèche (except the north and the western border areas), Drôme (except the north), Hautes-Alpes, the northern parts of Alpes de Haute-Provence, and the southernmost parts of Isère, France; severely endangered in France; the original joint ISO code [prv] for Alpine Provençal and Provençal has been retired on false grounds",44.7467,6.6796,2
112,355,Gallo,France,200000.0,"Ille-et-Vilaine, Loire-Atlantique, dans les deux tiers est des Côtes d'Armor et dans le tiers Est du Morbihan.",47.931,-2.0544,3
113,1570,Irula,India,200000.0,"Tamil Nadu, Kerala, Karnataka and Andhra Pradesh",11.4369,76.5032,1
114,1204,Kharia,India,200000.0,"Jharkhand, Ranchi, West Singhbhum, and East Singhbhum districts; Chhattisgarh, Raigarh, Jashpur, Durg, Bilaspur and Raipur districts; Orissa, Sundargarh, Sambalpur and Mayurbhanj districts",21.8003,85.4956,1
115,847,Khorasani Turk,Iran (Islamic Republic of),200000.0,"Northeast Iran, in the northern part of Khorasan Province, especially northwest of Mashhad.",36.6596,57.854,1
116,1210,Korku,India,200000.0,"Madhya Pradesh, Betul, Hoshangabad and East Nimar (Khandwa) Districts; Maharashtra, Amravati, Buldana and Akola districts.",20.3034,80.2441,1
117,328,Moksha,Russian Federation,200000.0,the western parts of the Republic of Mordovia and the adjacent parts of Ryazan’ and Penza provinces; also pockets in Tatarstan and Orenburg Province,54.1817,43.2751,2
118,7,Western Armenian (Middle East),"Iraq, Lebanon, Syrian Arab Republic",200000.0,"Primarily in the areas of Beirut, Lebanon and Aleppo, Syria; also in Cairo, Egypt and in Iraq and Turkey.  A large number of speakers are in diaspora, especially in the USA, but also in Canada, Europe, and South America.",33.884,35.5133,2
119,1258,Tshangla,"Bhutan, China, India",193000.0,"Eastern Bhutan, in Trashigang, Pêmagatshä, Samdru Jongkhar and Monggar districts.
India, Arunachal Pradesh,Tawang and West Kameng districts.
Southeastern Tibet, Motuo (Medoz, Medog) and Linzhi (Ngingchi) counties.
",27.1275,91.9335,1
120,1161,Thado,India,191000.0,"Manipur, Chandel Dt; Nagaland, Kohima District.  Also spoken in Burma, Possibly some speakers also in Mizoram.",24.4521,93.2354,1
121,389,Gagauz (Bessarabia),"Republic of Moldova, Ukraine",180000.0,"since eighteenth- and nineteenth-century immigration, Gagauz has been spoken in the Bujak region, which covers the towns and surrounding areas of Comrat, Ceadîr-Lunga, Basarabeasca, Taraclia and Vulcăneşti in the south of the Republic of Moldova and the adjacent Izmail region of Odessa (Odesa) Province in the Ukraine",46.0922,28.7951,2
122,1557,Kului,India,170770.0,"Himachal Pradesh, Kulli district",31.4403,77.1487,2
123,981,Adi,"China, India",170000.0,East Siang District; Upper Siang District,28.3527,95.2294,1
124,1132,Lhota,India,170000.0,"Nagaland, Wokha Dt.",26.1603,94.3725,1
125,977,Nyishi,India,170000.0,"Arunachal Pradesh, Papum Pare, Lower Subansiri, Kurung Kumey and Upper Subansiri districts.",27.5277,93.0981,1
126,1898,Ngäbere (Panama),Panama,169130.0,"Bocas del Toro, Veraguas, Chiriquí provinces in western Panama",9.3395,-82.2428,1
127,1582,Kodagu,India,166187.0,Karnataka,11.6952,75.9375,2
128,340,Corsican,"France, Italy",160000.0,Corsica (Corse); also spoken on Maddalena Island off the northeast coast of Sardinia and in many émigré communities,42.0819,9.0307,2
129,1253,Dzongkha,Bhutan,160000.0,"Western Bhutan, in Hâ, Chukha, D'agana, 'Wardi Phodr'a, Paro, Thimphu, Pünakha and Gâsa districts",27.44,89.6731,1
130,368,Kalmyk,Russian Federation,153602.0,"the Kalmyk Republic and the adjacent part of Astrakhan, Rostov, and Volgograd provinces and Stavropol’ Region",46.2026,45.8239,2
131,1071,Lak,Russian Federation,153373.0,parts of the Republic of Daghestan,42.0125,47.2521,1
132,332,Asturian-Leonese,"Spain, Portugal",150000.0,"Asturias and northwestern Castile and León, Cantabria and Extremadura, Spain; and the municipalities of Miranda do Douro and Vimioso in north-eastern Portugal",42.7954,-5.6689,2
133,376,Latgalian,"Latvia, Russian Federation",150000.0,eastern Latvia and cross-border areas in the Russian Federation; a regional language not recognized by the SIL,56.1822,27.1362,1
134,404,Provençal,France,150000.0,"the departments of Alpes-Maritimes (except the eastern corner), Bouches-du-Rhône, Var, and Vaucluse, the southern parts of Alpes de Haute-Provence, and the eastern parts of Gard; the original joint ISO code [prv] for Alpine Provençal and Provençal has been retired on false grounds",43.5485,6.1083,3
135,1174,Rabha,India,150000.0,"Assam, Goalpara, Kamrup and Darrang districts",25.9284,90.9777,1
136,1996,Tamzabit,Algeria,150000.0,"The M'zab Valley. Seven oases: Ghardaïa,  Beni-Isguen, El-Ateuf, Mélika, Bou Noura, Berrian, Guerrara.
",32.4816,3.6694,1
137,1128,Sherpa,"China, India, Nepal",143693.0,Solukhumbu district and around Mt Everest,27.739,86.839,1
138,1154,Tangkhul,India,142000.0,"Manipur, Ukhrul Dt.;; Nagaland, Phek Dt. Also spoken in Burma",25.0358,94.4824,1
139,1826,Q'aanjob'al,Guatemala,139830.0,"Soloma, San Juan Ixcoy, Santa Eulalia, Barilla",15.6019,-91.4441,1
140,1569,Badaga,India,134514.0,"Tamil Nadu, Nilgiri and Konda Hills",11.3642,76.5266,2
141,1140,Angami,India,132000.0,between Dimapur (Assam) and Kohima (Nagaland),25.7553,94.1308,1
142,1056,Laz,"Georgia, Turkey",130000.0,"the towns of Pazar (Atina), Ardeşen, Çamlıhemşin and Fındıklı in Rize Province and Arhavi (Arkabi/Arxave), Hopa (Xopa), Borçka and Sarp (Sarpi) in Artvin Province in Turkey; Sarpi is partly in the Republic of Ajaria on the Georgian side; there are also Laz villages, founded by refugees of the 1877–78 war, in the western parts of Turkey mainly in Sakarya, Kocaeli and Bolu provinces",41.2736,41.2646,2
143,1073,Tabasaran,Russian Federation,128391.0,parts of the Republic of Daghestan,41.8081,47.9882,1
